RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,ObjectId
B9-014052,1550275200000,2150,"CORNHUSKER,I 180 to N 1",NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,NO,1392
B9-014064,1550275200000,2200,"R,N 30 to N 31",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,1393
B9-014077,1550361600000,0,"NEBR HWY,S 40 to S 48",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,1394
B9-015249,1550707200000,20,", to",NON-INJ H&R,UNKNOWN,2,0,NO,NO,NO,NO,NO,NO,NO,1395
B9-015278,1550707200000,611,7209 PIONEERS at PARKING LOT,NON-INJ,,2,0,NO,NO,NO,NO,NO,YES,NO,1396
B9-015284,1550707200000,645,"HWY 34,W FLETCHER to FALLBROOK BLVD",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,1397
B9-015285,1550707200000,600,2500 TAMARIN RID at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,1398
B9-015294,1550707200000,740,"Y,N 32 to N 33",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,1399
B9-016600,1551052800000,925,N COTNER at ADAMS,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,1400
B9-014704,1550534400000,830,"I 180,CORNHUSKER to SUPERIOR",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,1401
B9-016602,1551052800000,910,S 14 at PIONEERS,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,1402
B9-015295,1550707200000,743,"SOUTH,S 56 to S 57",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,1403
B9-015788,1550793600000,1620,"OLD CHENEY,S 52 to S 56",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1404
B9-014714,1550534400000,922,S 14 at E,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,1405
B9-016603,1551052800000,930,"VINE,N 32 to N 33",INJURY,OTHER,2,1,NO,NO,NO,NO,NO,NO,NO,1406
B9-013423,1550102400000,1948,"HUNTINGTON,N 47 to N 48",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,1407
B9-014720,1550534400000,950,OLD CHENEY at VILLAGE BLVD,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,1408
B9-016622,1551052800000,9999,"OLD CHENEY,S 48 to S 49",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,1409
B9-016639,1551052800000,900,"S 14,F to G",INJURY H&R,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,1410
B9-014723,1550188800000,1430,",CANOPY & PINNACL to P & Q",NON-INJ,BACKING,1,0,NO,NO,NO,NO,NO,YES,NO,1411
B9-013431,1550102400000,2037,"N 84,BLUE SKY to SUNRIDGE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1412
B9-015296,1550707200000,740,N 11 at MANATT,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,1413
B9-016645,1551052800000,1036,"CORNHUSKER,N 11 to N 14",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,1414
B9-015790,1550707200000,9999,UNKNOWN at -,NON-INJ H&R,PARKED,1,0,NO,NO,NO,NO,NO,NO,NO,1415
B9-014743,1550534400000,9999,N 73 at LEXINGTON,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,1416
B9-013434,1550102400000,9999,3054 R ST at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,1417
B9-015298,1550707200000,750,"S 13,F to G",INJURY,SIDE SWIPE,2,2,NO,NO,NO,NO,NO,NO,YES,1418
B9-016649,1551052800000,1024,"S 56,OLDHAM to SUMNER",NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,YES,NO,1419
B9-015793,1550793600000,1634,NW 7 at W FLETCHER,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,1420
B9-013449,1550102400000,2125,N 13 at P,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,1421
B9-014757,1550534400000,1135,NW 48 at W SUPERIOR,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,YES,1422
B9-015299,1550707200000,750,"ADAMS,N 36 to N 38",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,1423
B9-016655,1551052800000,1045,"VAN DORN,S 6 to S 9",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,1424
B9-015796,1550793600000,1630,"VAN DORN,S 10 to S 9",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1425
B9-013456,1550102400000,2150,"S 54,ELKCREST to OLD LODGE",NON-INJ H&R,PARKED,3,0,NO,NO,NO,NO,NO,NO,NO,1426
B9-014768,1550534400000,1209,"N 27,CLINTON to HOLDREGE",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,1427
B9-015301,1550707200000,745,"NORMAL,GARFIELD to SUMNER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1428
B9-016663,1551052800000,810,"VAN DORN,S 40 to S 41",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,1429
B9-015801,1550793600000,1658,"HARTLEY,N 56 to RICHMOND",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,1430
B9-013462,1550188800000,2254,"N 70,LYNN to W",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,1431
B9-015307,1550707200000,820,"N 14,BENTON to BENTON",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1432
B9-014793,1550534400000,1252,S 45 at OLD CHENEY,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,1433
B9-016679,1551052800000,1045,S 6 at VAN DORN,NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,1434
B9-015806,1550793600000,1705,"S 70,S WEDGEWOOD to TETON",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1435
B9-013523,1550188800000,645,NW 38 at AIR PARK RD,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,1436
B9-015318,1550620800000,850,"TIERRA,S 27 to S 30",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1437
B9-014796,1550534400000,1308,VINE at N COTNER,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,1438
B9-014803,1550534400000,1340,N 84 at MARKET DR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,1439
B9-014832,1550534400000,1538,SUMNER at E MANOR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,1440
B9-014836,1550534400000,9999,N 20 at PHILADELPHIA,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,1441
B9-014837,1550534400000,1550,"S 70,SHAMROCK to VAN DORN",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,1442
B9-014839,1550534400000,1555,N 33 at VINE,NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,1443
B9-014843,1550534400000,9999,UNKNOWN at -,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,1444
B9-014845,1550534400000,9999,4300 CORNHUSKER at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,1445
B9-014854,1550534400000,1526,"HOLDREGE,N 34 to N 35",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1446
B9-014858,1550534400000,1640,"BALDWIN,N 65 to N COTNER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1447
B9-014861,1550534400000,1640,S 33 at A,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,1448
B9-014865,1550534400000,1659,"SUPERIOR,N 48 to HAVELOCK",INJURY,OTHER,2,2,NO,NO,NO,NO,NO,NO,NO,1449
B9-014866,1550448000000,9999,"BRIARPARK,HALLCLIFFE RD to RENTWORTH DR",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,1450
B9-014884,1550534400000,1730,"HOLDREGE,N 27 to N 28",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1451
B9-014887,1550534400000,1815,"CORNHUSKER,N 23 to N 27",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,1452
B9-014906,1550534400000,1906,RANDOLPH at S COTNER,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,1453
B9-014911,1550534400000,1937,S 27 at SOUTH,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,1454
B9-014914,1550534400000,1954,"N 29,PEAR to VINE",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,1455
B9-014946,1550534400000,2220,"I 80,W CORNHUSKER to I 80",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,1456
B9-014969,1550620800000,15,NW 13 at W FLETCHER,NON-INJ,HEAD ON,2,0,NO,NO,NO,NO,NO,YES,NO,1457
B9-015013,1550620800000,925,"HWY 77,ALVO RD to ARBOR",NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,YES,NO,1458
B9-015018,1550620800000,945,S 48 at SOUTH,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,1459
B9-015029,1550620800000,1035,NW 48 at AIR PARK RD,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,1460
B9-015041,1550620800000,1115,"LEIGHTON,N 93 to N 98",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,1461
B9-015042,1550620800000,1142,"MELROSE,S 52 to S 54",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,1462
B9-015048,1550534400000,900,"S 9,N to O",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1463
B9-015077,1550620800000,1304,"VINE,N 30 to N 31",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,1464
B9-015079,1550620800000,1311,"Q,N 11 to N 12",NON-INJ,PARKED,3,0,NO,NO,NO,NO,NO,YES,NO,1465
B9-015082,1550620800000,1313,"HAVELOCK,N 60 to N 61",INJURY,OTHER,1,1,YES,NO,NO,NO,NO,YES,NO,1466
B9-013539,1550102400000,9999,"MEREDETH,S 48 to S 49",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,1467
B9-013545,1550188800000,910,S 84 at NEBR HWY,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,1468
B9-013552,1550188800000,940,S ANTELOPE VALL at L,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,1469
B9-013553,1550188800000,940,NW 12 at W CORNHUSKER,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,1470
B9-013554,1550188800000,1001,"CORNHUSKER,HAVELOCK to HWY 77",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,1471
B9-013562,1550188800000,1025,"SUPERIOR,N 56 to CORNHUSKER",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,1472
B9-013563,1550188800000,1036,"I 80,W CORNHUSKER to I 80",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,NO,NO,1473
B9-013564,1550188800000,1030,"S 84,MANDARIN to PIONEERS",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,1474
B9-013567,1550188800000,940,HWY 34 at W FLETCHER,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,1475
B9-013572,1550188800000,1112,N 27 at VINE,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,1476
B9-013582,1550188800000,1140,"S 14,K to LINCOLN MALL",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,1477
B9-013584,1550188800000,1150,"S 56,OLD CHENEY to NEBR HWY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,1478
B9-013585,1550188800000,1202,"OLD CHENEY,HICKORY CREST to S 70",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,YES,1479
B9-013592,1550188800000,1215,"NW 48,W HOLDREGE to I 80",FATAL,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,1480
B9-013593,1550188800000,1215,N 27 at KENSINGTON,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,1481
B9-013595,1550188800000,1150,"CORNHUSKER,N 35 to N 40",INJURY,DRIVEWAY,2,1,NO,NO,NO,NO,NO,YES,NO,1482
B9-013604,1550188800000,1259,"S 14,NEBR HWY to PIONEERS",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,YES,1483
B9-013612,1550188800000,1301,S 14 at K,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,1484
B9-013618,1550188800000,1325,S 84 at NEBR HWY,INJURY,OTHER,2,2,NO,NO,NO,NO,NO,NO,NO,1485
B9-013619,1550188800000,1330,"N 70,HOLDREGE to STARR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1486
B9-013632,1550188800000,1425,"CORNHUSKER,N 27 to STATE FAIR PARK",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,1487
B9-013636,1550188800000,1426,"S 84,CHESTNUT to O",NON-INJ,SIDE SWIPE,3,0,NO,NO,NO,NO,NO,NO,NO,1488
B9-013645,1550188800000,1440,"S 27,NEBR HWY to WOODS BLVD",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1489
B9-013646,1550188800000,1445,SAUNDERS at N ANTELOPE VALL,NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,YES,NO,1490
B9-013647,1550188800000,1455,N 60 at MADISON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,1491
B9-013654,1550188800000,1511,"N 17,R to VINE",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,1492
B9-013659,1550188800000,1517,"S 13,G to H",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,1493
B9-013663,1550188800000,1527,"S 17,LAKE to PERKINS",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,1494
B9-013672,1550188800000,1550,"KNOX,N 63 to N 64",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,1495
B9-013678,1550188800000,1600,"N 70,O to P",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,1496
B9-013679,1550188800000,1605,"S 56,GLADE to NEWTON",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,1497
B9-013685,1550188800000,1615,S 70 at NEBR HWY,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,YES,NO,1498
B9-013698,1550188800000,1655,"S 26,N to O",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1499
B9-013705,1550102400000,1615,"VALLEY,BRYSON to S 48",NON-INJ,HEAD ON,2,0,NO,NO,NO,NO,NO,NO,NO,1500
B9-013708,1550188800000,1700,UNKNOWN at -,NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,1501
B9-013710,1550188800000,1725,"N 27,SUPERIOR to KING LN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,1502
B9-015809,1550793600000,9999,"R,N 13 to N 14",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,1503
B9-015327,1550707200000,910,"MONTEREY,E BERMUDA to S BERMUDA",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,1504
B9-016697,1551052800000,9999,2323 T at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,1505
B9-015331,1550707200000,915,"N 14,KNOX to NELSON",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,1506
B9-015349,1550707200000,950,"CORNHUSKER,N 17 to YOLANDE",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,1507
B9-015357,1550707200000,1015,"P,N 10 to N 11",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,YES,1508
B9-015360,1550707200000,1015,"BAIR,DEAD END to SUPERIOR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1509
B9-015370,1550707200000,1054,S FOLSOM at W E,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,1510
B9-015399,1550707200000,1235,"S 56,MYRTLE to NORMAL",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,1511
B9-015406,1550707200000,9999,UNKNOWN at -,NON-INJ,UNKNOWN,1,0,NO,NO,NO,NO,NO,YES,NO,1512
B9-015445,1550707200000,1444,"S 27,CABLE to SOUTH",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1513
B9-015464,1550707200000,9999,"DELHAY,CLEVELAND to N 63",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,1514
B9-015473,1550707200000,1550,"SOUTH,S 56 to S 57",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,1515
B9-016711,1551052800000,1300,"N 84,FREMONT to HAVELOCK",INJURY,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,1516
B9-015485,1550707200000,1620,"VAN DORN,S 70 to S 72",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,1517
B9-016753,1551052800000,1437,"NW 12,W ADAMS to W CORNHUSKER",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1518
B9-015502,1550707200000,9999,3211 S 13 at FAMILY DOLLAR,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,1519
B9-016755,1551052800000,1434,NW 12 at W ADAMS,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,1520
B9-015506,1550707200000,1715,"S 84,LANCASHIRE DR to SANDALWOOD",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1521
B9-015525,1550620800000,9999,"ROLLING HILLS,OLD CHENEY to TRELAWNEY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1522
B9-015539,1550707200000,1912,W VAN DORN at HOMESTEAD EXP,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,NO,NO,1523
B9-015546,1550707200000,1935,"N 27,KENSINGTON to TICONDEROGA",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1524
B9-015554,1550707200000,2015,"N 50,BALDWIN to HUNTINGTON",NON-INJ,PARKED,3,0,NO,NO,NO,NO,NO,NO,YES,1525
B9-015563,1550707200000,9999,2700 HOLDREGE at HOT NAILS,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,1526
B9-015571,1550707200000,2140,N 14 at SUPERIOR,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,1527
B9-015601,1550793600000,40,"S 28 CT,DEAD END to DRAKE",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,1528
B9-015629,1550793600000,555,N 84 at COLLEGE PARK RD,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,1529
B9-015632,1550793600000,640,MERIDIAN DR at FLETCHER,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,1530
B9-015635,1550793600000,620,"NEBR HWY,OLD CHENEY to S 56",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,1531
B9-015636,1550793600000,730,"ROLLING HILLS,OLD CHENEY to TRELAWNEY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1532
B9-015642,1550793600000,745,"I 180,I 80 to SUPERIOR",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,1533
B9-015661,1550793600000,920,"P,CENTENNIAL MALL to N 14",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,1534
B9-015686,1550793600000,1120,N 48 at W,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,1535
B9-015687,1550793600000,906,"O,84 to RUSSWOOD PKWY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1536
B9-015697,1550793600000,1222,"CORNHUSKER,N 48 to SUPERIOR",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,1537
B9-015817,1550793600000,1747,"S 27,NEBR HWY to PICCADILLY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1538
B9-015820,1550793600000,1750,QUEENS at CHISWICK DR,NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,1539
B9-015830,1550793600000,9999,4811 NW 1 at HACIENDA REAL,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,1540
B9-015854,1550793600000,2022,N 23 at TELLURIDE DR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,1541
B9-015870,1550793600000,2145,"MADISON,N 49 to N 50",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,1542
B9-015874,1550793600000,2218,N 48 at MADISON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,1543
B9-015894,1550793600000,2340,"N 56,BALDWIN to HUNTINGTON",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,YES,NO,1544
B9-015896,1550793600000,2330,N 75 at GREENWOOD,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,1545
B9-015902,1550880000000,10,S 14 at NEBR HWY,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,1546
B9-015909,1550880000000,30,"N COTNER,FAIRFAX to HOLDREGE",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,1547
B9-015929,1550880000000,205,"OREILLY,KUCERA to S 27",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,1548
B9-015953,1550880000000,9999,5101 N 48 at -,NON-INJ,,1,0,NO,NO,NO,NO,NO,NO,NO,1549
B9-015974,1550880000000,904,"LYNCREST,L to RANDOLPH",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,1550
B9-015979,1550880000000,17,"BRIDGER,MICKAELA to NW 8",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,1551
B9-015980,1550793600000,9999,", to",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,1552
B9-015999,1550880000000,215,"N 8,O to P",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,1553
B9-016023,1550880000000,9999,"MIDDLETON AVE,PALMETTO LN to HUMPHREY",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,1554
B9-016024,1550880000000,1405,W VAN DORN at FOLSOM CONNECTOR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,1555
B9-016030,1550880000000,1420,"VINE,N 27 to N 28",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,1556
B9-016032,1550880000000,1434,"S 27,A to B",NON-INJ H&R,OTHER,2,0,NO,NO,NO,NO,NO,NO,NO,1557
B9-016033,1550880000000,1432,"ADAMS,N 82 to N 84",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,1558
B9-016034,1550880000000,1441,O at LYNCREST,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,1559
B9-016036,1550880000000,1430,S 27 at CAPITOL PKWY,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,1560
B9-016039,1550880000000,1457,"S 10,HIGH to VAN DORN",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,1561
B9-016041,1550880000000,1500,"ORCHARD,N 46 to N 48",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,1562
B9-016051,1550880000000,1525,"N ANTELOPE VALL,MILITARY to SALT CREEK RDWY",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,1563
B9-016053,1550880000000,1523,S 33 at A,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,1564
B9-016055,1550880000000,1537,N 27 at HOLDREGE,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,1565
B9-016058,1550880000000,9999,"N 27,S to T",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,1566
B9-016060,1550880000000,1559,"CORNHUSKER,N 20 to N 23",NON-INJ,OTHER,3,0,NO,NO,NO,NO,NO,YES,NO,1567
B9-016062,1550880000000,1555,"O,46 to 48",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,1568
B9-016067,1550880000000,1612,"O,10 to 9",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,1569
B9-016075,1550880000000,1649,N 84 at ADAMS,NON-INJ H&R,SIDE SWIPE,3,0,NO,NO,NO,NO,NO,YES,NO,1570
B9-016078,1550880000000,1707,"N 14,ADAMS to NELSON",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,1571
B9-016079,1550880000000,9999,"EIGER DR,NEBR HWY to WESTSHORE",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,1572
B9-016091,1550880000000,1802,"ST PAUL,N 47 to N 48",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,YES,1573
B9-016764,1551052800000,1430,"OLD CHENEY,S 56 to S 58",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1574
B9-016767,1551052800000,1456,N 14 at MORTON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,1575
B9-016770,1551052800000,9999,4336 N 20 at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,1576
B9-016771,1551052800000,9999,"N ANTELOPE VALL,SALT CREEK RDWY to N 17",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,YES,1577
B9-016781,1551052800000,1515,"N ANTELOPE VALL,MILITARY to SALT CREEK RDWY",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,1578
B9-016784,1551052800000,1417,1111 Q ST at -,NON-INJ,,1,0,NO,NO,NO,NO,NO,NO,NO,1579
B9-016786,1551052800000,1539,"CORNHUSKER,N 40 to N 44",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,1580
